iter	RMSE
0	0.4660666165
1	0.4493033916
2	0.434061901
3	0.4215365505
4	0.4124080902
5	0.4011043218
6	0.3914328297
7	0.3856411546
8	0.3785360699
9	0.3732804771
10	0.3693326205
11	0.3643172595
12	0.3603518392
13	0.3562088661
14	0.3527075211
15	0.349462378
16	0.3464377154
17	0.344572359
18	0.3426445886
19	0.3411973954
20	0.3404886443
21	0.3385094078
22	0.3365953804
23	0.3352487975
24	0.3339509025
25	0.332816062
26	0.3319087493
27	0.3309330796
28	0.3299535632
29	0.329166516
30	0.3287655987
31	0.3281369147
32	0.3279561818
33	0.3273233248
34	0.3269940751
35	0.3266686457
36	0.3263426814
37	0.3252477768
38	0.3237408905
39	0.3231741634
